name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Wrocław,2023-02-17,13.1,1.9,7.9,13.1,1.6,5.9,4.3,78.5,0.194,100,4.17,rain,0,0,74.4,40.9,249.5,1016.2,89.6,18.5,18.3,1.7,2,10,2023-02-17T07:01:47,2023-02-17T17:10:54,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-18,10.7,6.2,7.7,10.7,1.7,4.8,3.5,75.9,0.641,100,8.33,rain,0,0,70.8,46.5,284.6,1013.1,84.2,24.3,12.7,1.1,1,10,2023-02-18T06:59:51,2023-02-18T17:12:41,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-19,6.2,0.9,4.4,4.3,-3.5,1.2,2,84.9,9.149,100,12.5,"rain,snow",0.6,0.2,70.6,26.4,302.6,1016.6,83.5,21.6,32.3,2.8,3,10,2023-02-19T06:57:53,2023-02-19T17:14:28,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-20,12.3,-0.3,6.9,12.3,-3.9,4.6,2,72.2,0,0,0,rain,0,0,64,40.2,274.9,1016.3,90.2,31.1,28.2,2.4,1,10,2023-02-20T06:55:55,2023-02-20T17:16:15,0,Overcast,Cloudy skies throughout the day.,cloudy,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-21,11.3,5.5,9.1,11.3,3.3,6.9,6.1,81.3,0.006,100,4.17,rain,0,0,64.6,40,288.3,1012.6,82.8,28,26.7,2.3,2,10,2023-02-21T06:53:55,2023-02-21T17:18:02,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-22,9.1,2.6,5.9,9.1,-0.3,4.6,2.4,79.2,0,0,0,,0,0,35.4,21.8,84.9,1017.6,86.6,20,29.1,2.5,1,10,2023-02-22T06:51:54,2023-02-22T17:19:49,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12424099999,EPWR,E1158,F4529,12415099999"
Wrocław,2023-02-23,11,0.3,5.1,11,-3.9,2.2,2.3,82.9,0,0,0,,0,0,35.3,20.9,131.9,1014.1,90.5,12.7,31.3,2.9,1,10,2023-02-23T06:49:52,2023-02-23T17:21:35,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-24,7.9,4.1,6.5,6.6,0.9,4.2,4.5,87.4,0.261,100,8.33,rain,0,0,42.4,19.2,275.6,1003.6,90.2,15,18.3,1.5,1,10,2023-02-24T06:47:50,2023-02-24T17:23:21,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-25,4,0.9,2.6,-0.2,-3.8,-2.4,0.8,88.1,0.694,100,8.33,"rain,snow",0.4,0.2,58.9,36.5,287.5,997.9,92.2,22.9,19.4,1.6,1,10,2023-02-25T06:45:46,2023-02-25T17:25:07,0.17,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-26,2.3,-0.1,0.4,-1.5,-4.5,-3.3,-2.3,82.5,0.586,100,12.5,"rain,snow",0.7,0.4,39,18.2,347.3,1015.3,87,26,28.2,2.4,2,10,2023-02-26T06:43:41,2023-02-26T17:26:52,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"12424099999,EPWR,F4529,12415099999"
Wrocław,2023-02-27,2,-3,0.1,2,-5.6,-2.7,-3.8,75.4,0.1,100,4.17,"rain,snow",0,0,23.4,22.3,10.8,1026.7,49.5,10,26.7,2.2,2,10,2023-02-27T06:41:36,2023-02-27T17:28:37,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"EPWR,F4529"
Wrocław,2023-02-28,4,-3,0.5,4,-4.4,-0.8,-5.4,66.5,0,0,0,,0,0,15.8,13,56,1030.4,41.8,10,52.2,4.5,3,10,2023-02-28T06:39:30,2023-02-28T17:30:22,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"EPWR,F4529"
